"week","year","week_year","y"
1,2016,"1_2016",0
2,2016,"2_2016",0
3,2016,"3_2016",0
4,2016,"4_2016",0
5,2016,"5_2016",4.42857142857143
6,2016,"6_2016",8.28571428571429
7,2016,"7_2016",6.85714285714286
8,2016,"8_2016",6.28571428571429
9,2016,"9_2016",21.2857142857143
10,2016,"10_2016",10.1428571428571
11,2016,"11_2016",17.4285714285714
12,2016,"12_2016",9.42857142857143
13,2016,"13_2016",3.85714285714286
14,2016,"14_2016",0.857142857142857
15,2016,"15_2016",0
16,2016,"16_2016",0
17,2016,"17_2016",0
18,2016,"18_2016",0
19,2016,"19_2016",0
20,2016,"20_2016",0
21,2016,"21_2016",0
22,2016,"22_2016",0
23,2016,"23_2016",0
24,2016,"24_2016",0
25,2016,"25_2016",0
26,2016,"26_2016",0
27,2016,"27_2016",0
28,2016,"28_2016",0
29,2016,"29_2016",0
30,2016,"30_2016",0
31,2016,"31_2016",0
32,2016,"32_2016",0
33,2016,"33_2016",0
34,2016,"34_2016",0
35,2016,"35_2016",0
36,2016,"36_2016",0
37,2016,"37_2016",0
38,2016,"38_2016",0
39,2016,"39_2016",0
40,2016,"40_2016",0
41,2016,"41_2016",0
42,2016,"42_2016",0
43,2016,"43_2016",0
44,2016,"44_2016",0
45,2016,"45_2016",0
46,2016,"46_2016",0
47,2016,"47_2016",0
48,2016,"48_2016",0
49,2016,"49_2016",0
50,2016,"50_2016",0
51,2016,"51_2016",0
52,2016,"52_2016",0
53,2016,"53_2016",0
1,2017,"1_2017",0
2,2017,"2_2017",0
3,2017,"3_2017",0
4,2017,"4_2017",0
5,2017,"5_2017",0
6,2017,"6_2017",0
7,2017,"7_2017",0.285714285714286
8,2017,"8_2017",5.14285714285714
9,2017,"9_2017",35.7142857142857
10,2017,"10_2017",26
11,2017,"11_2017",28.4285714285714
12,2017,"12_2017",7.42857142857143
13,2017,"13_2017",0.285714285714286
14,2017,"14_2017",1
15,2017,"15_2017",0.142857142857143
16,2017,"16_2017",0.142857142857143
17,2017,"17_2017",0.142857142857143
18,2017,"18_2017",0
19,2017,"19_2017",0
20,2017,"20_2017",0
21,2017,"21_2017",0
22,2017,"22_2017",0
23,2017,"23_2017",0.142857142857143
24,2017,"24_2017",0
25,2017,"25_2017",0
26,2017,"26_2017",0
27,2017,"27_2017",0
28,2017,"28_2017",0
29,2017,"29_2017",0
30,2017,"30_2017",0
31,2017,"31_2017",0
32,2017,"32_2017",0
33,2017,"33_2017",0
34,2017,"34_2017",0
35,2017,"35_2017",0
36,2017,"36_2017",0
37,2017,"37_2017",0
38,2017,"38_2017",0
39,2017,"39_2017",0
40,2017,"40_2017",0
41,2017,"41_2017",0
42,2017,"42_2017",0
43,2017,"43_2017",0
44,2017,"44_2017",0
45,2017,"45_2017",0
46,2017,"46_2017",0
47,2017,"47_2017",0
48,2017,"48_2017",0
49,2017,"49_2017",0
50,2017,"50_2017",0
51,2017,"51_2017",0
52,2017,"52_2017",0
53,2017,"53_2017",0
1,2018,"1_2018",0
2,2018,"2_2018",0
3,2018,"3_2018",0
4,2018,"4_2018",0
5,2018,"5_2018",0
6,2018,"6_2018",0
7,2018,"7_2018",1.57142857142857
8,2018,"8_2018",1.85714285714286
9,2018,"9_2018",1.28571428571429
10,2018,"10_2018",25.8571428571429
11,2018,"11_2018",14.5714285714286
12,2018,"12_2018",6
13,2018,"13_2018",3.42857142857143
14,2018,"14_2018",0
15,2018,"15_2018",2.42857142857143
16,2018,"16_2018",0
17,2018,"17_2018",0
18,2018,"18_2018",0
19,2018,"19_2018",0
20,2018,"20_2018",0
21,2018,"21_2018",0.142857142857143
22,2018,"22_2018",0
23,2018,"23_2018",0
24,2018,"24_2018",0
25,2018,"25_2018",0
26,2018,"26_2018",0
27,2018,"27_2018",0
28,2018,"28_2018",0
29,2018,"29_2018",0
30,2018,"30_2018",0
31,2018,"31_2018",0
32,2018,"32_2018",0
33,2018,"33_2018",0
34,2018,"34_2018",0
35,2018,"35_2018",0
36,2018,"36_2018",0
37,2018,"37_2018",0
38,2018,"38_2018",0
39,2018,"39_2018",0
40,2018,"40_2018",0
41,2018,"41_2018",0
42,2018,"42_2018",0
43,2018,"43_2018",0
44,2018,"44_2018",0
45,2018,"45_2018",0
46,2018,"46_2018",0
47,2018,"47_2018",0
48,2018,"48_2018",0
49,2018,"49_2018",0
50,2018,"50_2018",0
51,2018,"51_2018",0
52,2018,"52_2018",0
53,2018,"53_2018",0
1,2019,"1_2019",0
2,2019,"2_2019",0
3,2019,"3_2019",0
4,2019,"4_2019",0
5,2019,"5_2019",0
6,2019,"6_2019",0
7,2019,"7_2019",0.142857142857143
8,2019,"8_2019",19.7142857142857
9,2019,"9_2019",81.1428571428571
10,2019,"10_2019",13.4285714285714
11,2019,"11_2019",2.28571428571429
12,2019,"12_2019",1.57142857142857
13,2019,"13_2019",1.71428571428571
14,2019,"14_2019",1.28571428571429
15,2019,"15_2019",0.142857142857143
16,2019,"16_2019",1.85714285714286
17,2019,"17_2019",0
18,2019,"18_2019",0
19,2019,"19_2019",0
20,2019,"20_2019",0
21,2019,"21_2019",0
22,2019,"22_2019",0
23,2019,"23_2019",0.285714285714286
24,2019,"24_2019",0
25,2019,"25_2019",0
26,2019,"26_2019",0
27,2019,"27_2019",0
28,2019,"28_2019",0
29,2019,"29_2019",0
30,2019,"30_2019",0
31,2019,"31_2019",0
32,2019,"32_2019",0
33,2019,"33_2019",0
34,2019,"34_2019",0
35,2019,"35_2019",0
36,2019,"36_2019",0
37,2019,"37_2019",0
38,2019,"38_2019",0
39,2019,"39_2019",0
40,2019,"40_2019",0
41,2019,"41_2019",0
42,2019,"42_2019",0
43,2019,"43_2019",0
44,2019,"44_2019",0
45,2019,"45_2019",0
46,2019,"46_2019",0
47,2019,"47_2019",0
48,2019,"48_2019",0
49,2019,"49_2019",0
50,2019,"50_2019",0
51,2019,"51_2019",0
52,2019,"52_2019",0
53,2019,"53_2019",0
1,2020,"1_2020",0
2,2020,"2_2020",0
3,2020,"3_2020",0
4,2020,"4_2020",0
5,2020,"5_2020",0.571428571428571
6,2020,"6_2020",0.428571428571429
7,2020,"7_2020",4.71428571428571
8,2020,"8_2020",5.57142857142857
9,2020,"9_2020",2.42857142857143
10,2020,"10_2020",1.42857142857143
11,2020,"11_2020",0.142857142857143
12,2020,"12_2020",0
13,2020,"13_2020",0.428571428571429
14,2020,"14_2020",0
15,2020,"15_2020",0
16,2020,"16_2020",0.142857142857143
17,2020,"17_2020",0.142857142857143
18,2020,"18_2020",0
19,2020,"19_2020",0
20,2020,"20_2020",0
21,2020,"21_2020",0
22,2020,"22_2020",0
23,2020,"23_2020",0
24,2020,"24_2020",0
25,2020,"25_2020",0
26,2020,"26_2020",0
27,2020,"27_2020",0
28,2020,"28_2020",0
29,2020,"29_2020",0
30,2020,"30_2020",0
31,2020,"31_2020",0
32,2020,"32_2020",0
33,2020,"33_2020",0
34,2020,"34_2020",0
35,2020,"35_2020",0
36,2020,"36_2020",0
37,2020,"37_2020",0
38,2020,"38_2020",0
39,2020,"39_2020",0
40,2020,"40_2020",0
41,2020,"41_2020",0
42,2020,"42_2020",0
43,2020,"43_2020",0
44,2020,"44_2020",0
45,2020,"45_2020",0
46,2020,"46_2020",0
47,2020,"47_2020",0
48,2020,"48_2020",0
49,2020,"49_2020",0
50,2020,"50_2020",0
51,2020,"51_2020",0
52,2020,"52_2020",0
53,2020,"53_2020",0
1,2021,"1_2021",0
2,2021,"2_2021",0
3,2021,"3_2021",0
4,2021,"4_2021",0
5,2021,"5_2021",0
6,2021,"6_2021",0
7,2021,"7_2021",0
8,2021,"8_2021",3.14285714285714
9,2021,"9_2021",13.1428571428571
10,2021,"10_2021",2.42857142857143
11,2021,"11_2021",2.42857142857143
12,2021,"12_2021",2.14285714285714
13,2021,"13_2021",1.42857142857143
14,2021,"14_2021",0.428571428571429
15,2021,"15_2021",0.428571428571429
16,2021,"16_2021",0.285714285714286
17,2021,"17_2021",0.142857142857143
18,2021,"18_2021",0
19,2021,"19_2021",0.142857142857143
20,2021,"20_2021",0
21,2021,"21_2021",0
22,2021,"22_2021",0
23,2021,"23_2021",0
24,2021,"24_2021",0
25,2021,"25_2021",0
26,2021,"26_2021",0
27,2021,"27_2021",0
28,2021,"28_2021",0
29,2021,"29_2021",0
30,2021,"30_2021",0
31,2021,"31_2021",0
32,2021,"32_2021",0
33,2021,"33_2021",0
34,2021,"34_2021",0
35,2021,"35_2021",0
36,2021,"36_2021",0
37,2021,"37_2021",0
38,2021,"38_2021",0
39,2021,"39_2021",0
40,2021,"40_2021",0
41,2021,"41_2021",0
42,2021,"42_2021",0
43,2021,"43_2021",0
44,2021,"44_2021",0
45,2021,"45_2021",0
46,2021,"46_2021",0
47,2021,"47_2021",0
48,2021,"48_2021",0
49,2021,"49_2021",0
50,2021,"50_2021",0
51,2021,"51_2021",0
52,2021,"52_2021",0
53,2021,"53_2021",0
1,2022,"1_2022",0
2,2022,"2_2022",0
3,2022,"3_2022",0
4,2022,"4_2022",0
5,2022,"5_2022",0
6,2022,"6_2022",38.5714285714286
7,2022,"7_2022",98
8,2022,"8_2022",54
9,2022,"9_2022",22.2857142857143
10,2022,"10_2022",15.1428571428571
11,2022,"11_2022",7
12,2022,"12_2022",13.7142857142857
13,2022,"13_2022",8.57142857142857
14,2022,"14_2022",0.142857142857143
15,2022,"15_2022",0.571428571428571
16,2022,"16_2022",0.714285714285714
17,2022,"17_2022",0.142857142857143
18,2022,"18_2022",0.285714285714286
19,2022,"19_2022",0
20,2022,"20_2022",0.285714285714286
21,2022,"21_2022",0.142857142857143
22,2022,"22_2022",0
23,2022,"23_2022",0
24,2022,"24_2022",0
25,2022,"25_2022",0
26,2022,"26_2022",0
27,2022,"27_2022",0
28,2022,"28_2022",0
29,2022,"29_2022",0
30,2022,"30_2022",0
31,2022,"31_2022",0
32,2022,"32_2022",0
33,2022,"33_2022",0
34,2022,"34_2022",0
35,2022,"35_2022",0
36,2022,"36_2022",0
37,2022,"37_2022",0
38,2022,"38_2022",0
39,2022,"39_2022",0
40,2022,"40_2022",0
41,2022,"41_2022",0
42,2022,"42_2022",0
43,2022,"43_2022",0
44,2022,"44_2022",0
45,2022,"45_2022",0
46,2022,"46_2022",0
47,2022,"47_2022",0
48,2022,"48_2022",0
49,2022,"49_2022",0
50,2022,"50_2022",0
51,2022,"51_2022",0
52,2022,"52_2022",0
53,2022,"53_2022",0
1,2023,"1_2023",0
2,2023,"2_2023",0
3,2023,"3_2023",0
4,2023,"4_2023",0
5,2023,"5_2023",0
6,2023,"6_2023",0.571428571428571
7,2023,"7_2023",1.42857142857143
8,2023,"8_2023",22.8571428571429
9,2023,"9_2023",6.85714285714286
10,2023,"10_2023",7.71428571428571
11,2023,"11_2023",6.28571428571429
12,2023,"12_2023",3.14285714285714
13,2023,"13_2023",0.714285714285714
14,2023,"14_2023",0.571428571428571
15,2023,"15_2023",0.857142857142857
16,2023,"16_2023",0.142857142857143
17,2023,"17_2023",0
18,2023,"18_2023",0
19,2023,"19_2023",0
20,2023,"20_2023",0
21,2023,"21_2023",0
22,2023,"22_2023",0
23,2023,"23_2023",0
24,2023,"24_2023",0
25,2023,"25_2023",0
26,2023,"26_2023",0
27,2023,"27_2023",0
28,2023,"28_2023",0
29,2023,"29_2023",0
30,2023,"30_2023",0
31,2023,"31_2023",0
32,2023,"32_2023",0
33,2023,"33_2023",0
34,2023,"34_2023",0
35,2023,"35_2023",0
36,2023,"36_2023",0
37,2023,"37_2023",0
38,2023,"38_2023",0
39,2023,"39_2023",0
40,2023,"40_2023",0
41,2023,"41_2023",0.142857142857143
42,2023,"42_2023",0
43,2023,"43_2023",0
44,2023,"44_2023",0
45,2023,"45_2023",0
46,2023,"46_2023",0
47,2023,"47_2023",0
48,2023,"48_2023",0
49,2023,"49_2023",0
50,2023,"50_2023",0
51,2023,"51_2023",0
52,2023,"52_2023",0
53,2023,"53_2023",0
1,2024,"1_2024",0
2,2024,"2_2024",0
3,2024,"3_2024",0
4,2024,"4_2024",0
5,2024,"5_2024",0
6,2024,"6_2024",0
7,2024,"7_2024",104.142857142857
8,2024,"8_2024",5.71428571428571
9,2024,"9_2024",2.42857142857143
10,2024,"10_2024",5.57142857142857
11,2024,"11_2024",3.42857142857143
12,2024,"12_2024",1.57142857142857
13,2024,"13_2024",1.85714285714286
14,2024,"14_2024",0.857142857142857
15,2024,"15_2024",0
16,2024,"16_2024",1
17,2024,"17_2024",0.285714285714286
18,2024,"18_2024",0.428571428571429
19,2024,"19_2024",0.142857142857143
20,2024,"20_2024",0.142857142857143
21,2024,"21_2024",0.714285714285714
22,2024,"22_2024",0
23,2024,"23_2024",0
24,2024,"24_2024",0
25,2024,"25_2024",0
26,2024,"26_2024",0
27,2024,"27_2024",0
28,2024,"28_2024",0
29,2024,"29_2024",0.285714285714286
30,2024,"30_2024",0
31,2024,"31_2024",0
32,2024,"32_2024",0
33,2024,"33_2024",0
34,2024,"34_2024",0
35,2024,"35_2024",0
36,2024,"36_2024",0
37,2024,"37_2024",0
38,2024,"38_2024",0
39,2024,"39_2024",0
40,2024,"40_2024",0
41,2024,"41_2024",0
42,2024,"42_2024",0
43,2024,"43_2024",0
44,2024,"44_2024",0
45,2024,"45_2024",0
46,2024,"46_2024",0
47,2024,"47_2024",0
48,2024,"48_2024",0
49,2024,"49_2024",0
50,2024,"50_2024",0
51,2024,"51_2024",0
52,2024,"52_2024",0
53,2024,"53_2024",0
